ZipCode,State,County,NormalizedCounty,City,NormalizedCity,TaxRegionName,NormalizedTaxRegionName,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate,EstimatedPopulation,Year,Month
95816,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 1",sacramento-tmd-zone-1,8.750000,6.000000,0.250000,1.000000,1.500000,12950,2019,8
95817,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,8527,2019,8
95818,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,16236,2019,8
95819,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,13837,2019,8
95820,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,23334,2019,8
95821,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,7.750000,6.000000,0.250000,0.000000,1.500000,24579,2019,8
95822,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,31791,2019,8
95823,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,50088,2019,8
95824,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,19631,2019,8
95825,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,7.750000,6.000000,0.250000,0.000000,1.500000,20027,2019,8
95826,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,26728,2019,8
95827,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"RANCHO CORDOVA TOURISM BUSINESS IMPROVEMENT DISTRICT",rancho-cordova-tourism-business-improvement-district,8.250000,6.000000,0.250000,0.500000,1.500000,16012,2019,8
95828,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,40823,2019,8
95829,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,19919,2019,8
95830,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,679,2019,8
95831,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,34473,2019,8
95832,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,7151,2019,8
95833,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 3",sacramento-tmd-zone-3,8.750000,6.000000,0.250000,1.000000,1.500000,27060,2019,8
95834,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 3",sacramento-tmd-zone-3,8.750000,6.000000,0.250000,1.000000,1.500000,18721,2019,8
95835,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 3",sacramento-tmd-zone-3,8.750000,6.000000,0.250000,1.000000,1.500000,27167,2019,8
95836,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,0,2019,8
95837,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 3",sacramento-tmd-zone-3,7.750000,6.000000,0.250000,0.000000,1.500000,0,2019,8
95838,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,8.750000,6.000000,0.250000,1.000000,1.500000,23781,2019,8
95840,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 1",sacramento-tmd-zone-1,8.750000,6.000000,0.250000,1.000000,1.500000,0,2019,8
95841,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,13816,2019,8
95842,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,22672,2019,8
95843,CA,"SACRAMENTO COUNTY",sacramento-county,ANTELOPE,antelope,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,34636,2019,8
95851,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,8.750000,6.000000,0.250000,1.000000,1.500000,0,2019,8
95852,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,8.750000,6.000000,0.250000,1.000000,1.500000,0,2019,8
95853,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,8.750000,6.000000,0.250000,1.000000,1.500000,0,2019,8
95860,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,7.750000,6.000000,0.250000,0.000000,1.500000,620,2019,8
95864,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 4",sacramento-tmd-zone-4,7.750000,6.000000,0.250000,0.000000,1.500000,19481,2019,8
95865,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,7.750000,6.000000,0.250000,0.000000,1.500000,586,2019,8
95866,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 2",sacramento-tmd-zone-2,7.750000,6.000000,0.250000,0.000000,1.500000,569,2019,8
95867,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,"SACRAMENTO TMD ZONE 1",sacramento-tmd-zone-1,8.750000,6.000000,0.250000,1.000000,1.500000,0,2019,8
95894,CA,"SACRAMENTO COUNTY",sacramento-county,SACRAMENTO,sacramento,SACRAMENTO,sacramento,8.750000,6.000000,0.250000,1.000000,1.500000,0,2019,8
95901,CA,"YUBA COUNTY",yuba-county,MARYSVILLE,marysville,MARYSVILLE,marysville,8.250000,6.000000,0.250000,1.000000,1.000000,22529,2019,8
95903,CA,"YUBA COUNTY",yuba-county,"BEALE AFB",beale-afb,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,1623,2019,8
95910,CA,"SIERRA COUNTY",sierra-county,ALLEGHANY,alleghany,"SIERRA COUNTY",sierra-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95912,CA,"COLUSA COUNTY",colusa-county,ARBUCKLE,arbuckle,"COLUSA COUNTY",colusa-county,7.250000,6.000000,0.250000,0.000000,1.000000,4260,2019,8
95913,CA,"GLENN COUNTY",glenn-county,ARTOIS,artois,"GLENN COUNTY",glenn-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95914,CA,"BUTTE COUNTY",butte-county,BANGOR,bangor,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,691,2019,8
95915,CA,"PLUMAS COUNTY",plumas-county,BELDEN,belden,"PLUMAS COUNTY",plumas-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95916,CA,"BUTTE COUNTY",butte-county,"BERRY CREEK",berry-creek,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,931,2019,8
95917,CA,"BUTTE COUNTY",butte-county,BIGGS,biggs,"BUTTE COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",butte-county-tourism-business-improvement-district,7.250000,6.000000,0.250000,0.000000,1.000000,2534,2019,8
95918,CA,"YUBA COUNTY",yuba-county,"BROWNS VALLEY",browns-valley,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,1810,2019,8
95919,CA,"YUBA COUNTY",yuba-county,BROWNSVILLE,brownsville,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,914,2019,8
95920,CA,"GLENN COUNTY",glenn-county,"BUTTE CITY",butte-city,"GLENN COUNTY",glenn-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95922,CA,"SIERRA COUNTY",sierra-county,CAMPTONVILLE,camptonville,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,0,2019,8
95923,CA,"PLUMAS COUNTY",plumas-county,"CANYON DAM",canyon-dam,"PLUMAS COUNTY",plumas-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95924,CA,"NEVADA COUNTY",nevada-county,"CEDAR RIDGE",cedar-ridge,"NEVADA COUNTY",nevada-county,7.500000,6.000000,0.250000,0.000000,1.250000,1401,2019,8
95925,CA,"YUBA COUNTY",yuba-county,CHALLENGE,challenge,YUBA,yuba,8.250000,6.000000,0.250000,0.000000,2.000000,0,2019,8
95926,CA,"BUTTE COUNTY",butte-county,CHICO,chico,CHICO,chico,7.250000,6.000000,0.250000,0.000000,1.000000,22651,2019,8
95927,CA,"BUTTE COUNTY",butte-county,CHICO,chico,CHICO,chico,7.250000,6.000000,0.250000,0.000000,1.000000,3301,2019,8
95928,CA,"BUTTE COUNTY",butte-county,CHICO,chico,CHICO,chico,7.250000,6.000000,0.250000,0.000000,1.000000,22333,2019,8
95929,CA,"BUTTE COUNTY",butte-county,CHICO,chico,CHICO,chico,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
